sample_id,name,city,category,baseline_query,baseline_url,baseline_description,baseline_relevant,baseline_judge_raw,baseline_zero_recall,baseline_hallucination,heuristic_query,heuristic_url,heuristic_description,heuristic_relevant,heuristic_judge_raw,heuristic_zero_recall,heuristic_hallucination
cn25-011,广州塔,广州,城市风光,广州塔,https://images.unsplash.com/photo-1530021382214-1fc6e31513d5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlQjklQkYlRTUlQjclOUUlRTUlQTElOTR8ZW58MXwwfHx8MTc3Mzg4MzQzMXww&ixlib=rb-4.1.0&q=80&w=1080,Guangzhou Tower,True,1,False,False,广州塔 广州,https://images.unsplash.com/photo-1530021382214-1fc6e31513d5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlQjklQkYlRTUlQjclOUUlRTUlQTElOTQlMjAlRTUlQjklQkYlRTUlQjclOUV8ZW58MXwwfHx8MTc3MzkwODk1Nnww&ixlib=rb-4.1.0&q=80&w=1080,,True,1,False,False
cn25-012,陈家祠,广州,历史文化,陈家祠,,,False,,True,False,,,,False,,True,False
cn25-013,白云山,广州,自然风光,白云山,https://images.unsplash.com/photo-1620912599261-656d119ca46f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTclOTklQkQlRTQlQkElOTElRTUlQjElQjF8ZW58MXwwfHx8MTc3MzkwNjc4N3ww&ixlib=rb-4.1.0&q=80&w=1080,北京景山公园,False,0,False,True,,,,False,,True,False
cn25-014,珠江夜游,广州,城市风光,珠江夜游,https://images.unsplash.com/photo-1560951803-8d0d8c876bff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTclOEYlQTAlRTYlQjElOUYlRTUlQTQlOUMlRTYlQjglQjh8ZW58MXwwfHx8MTc3Mzg4MzQ0N3ww&ixlib=rb-4.1.0&q=80&w=1080,body of water near buildings,False,0,False,True,,,,False,,True,False
cn25-015,长隆野生动物世界,广州,休闲,长隆野生动物世界,https://images.unsplash.com/photo-1734018959048-513f36c740a6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTklOTUlQkYlRTklOUElODYlRTklODclOEUlRTclOTQlOUYlRTUlOEElQTglRTclODklQTklRTQlQjglOTYlRTclOTUlOEN8ZW58MXwwfHx8MTc3MzkwNjc5OHww&ixlib=rb-4.1.0&q=80&w=1080,A blue and yellow sign with black bears on it,False,0,False,True,,,,False,,True,False
cn25-016,世界之窗,深圳,休闲,世界之窗,https://images.unsplash.com/photo-1707813130463-31d492f072ea?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTQlQjglOTYlRTclOTUlOEMlRTQlQjklOEIlRTclQUElOTd8ZW58MXwwfHx8MTc3Mzg4MzQ1M3ww&ixlib=rb-4.1.0&q=80&w=1080,a very large and colorful object with many lights,False,0,False,True,世界之窗 深圳,,,False,,True,False
cn25-017,深圳湾公园,深圳,自然风光,深圳湾公园,https://images.unsplash.com/photo-1651932509246-3a1296cae2f0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTYlQjclQjElRTUlOUMlQjMlRTYlQjklQkUlRTUlODUlQUMlRTUlOUIlQUR8ZW58MXwwfHx8MTc3Mzg4MzQ2MHww&ixlib=rb-4.1.0&q=80&w=1080,Birds  in 深圳湾公园,False,0,False,True,深圳湾公园 深圳,https://images.unsplash.com/photo-1651932509246-3a1296cae2f0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTYlQjclQjElRTUlOUMlQjMlRTYlQjklQkUlRTUlODUlQUMlRTUlOUIlQUQlMjAlRTYlQjclQjElRTUlOUMlQjN8ZW58MXwwfHx8MTc3MzkwOTAyNHww&ixlib=rb-4.1.0&q=80&w=1080,,False,0,False,True
cn25-018,南头古城,深圳,历史文化,南头古城,,,False,,True,False,,,,False,,True,False
cn25-019,宽窄巷子,成都,历史文化,宽窄巷子,,,False,,True,False,,,,False,,True,False
cn25-020,锦里,成都,历史文化,锦里,,,False,,True,False,,,,False,,True,False
cn25-021,成都大熊猫繁育研究基地,成都,自然风光,成都大熊猫繁育研究基地,,,False,,True,False,Chengdu Research Base of Giant Panda Breeding 成都大熊猫繁育研究基地 成都 Chengdu China,https://images.unsplash.com/photo-1694418500115-02578eaec401?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHxDaGVuZ2R1JTIwUmVzZWFyY2glMjBCYXNlJTIwb2YlMjBHaWFudCUyMFBhbmRhJTIwQnJlZWRpbmclMjAlRTYlODglOTAlRTklODMlQkQlRTUlQTQlQTclRTclODYlOEElRTclOEMlQUIlRTclQjklODElRTglODIlQjIlRTclQTAlOTQlRTclQTklQjYlRTUlOUYlQkElRTUlOUMlQjAlMjAlRTYlODglOTAlRTklODMlQkQlMjBDaGVuZ2R1JTIwQ2hpbmF8ZW58MXwwfHx8MTc3MzkwOTA2Mnww&ixlib=rb-4.1.0&q=80&w=1080,a panda bear sitting on a rock eating bamboo,True,1,False,False
cn25-022,兵马俑,西安,历史文化,兵马俑,,,False,,True,False,Terracotta Army 兵马俑 西安 Xi'an China,https://images.unsplash.com/photo-1648726444582-6d108b5d13dc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHw3fHxUZXJyYWNvdHRhJTIwQXJteSUyMCVFNSU4NSVCNSVFOSVBOSVBQyVFNCVCRiU5MSUyMCVFOCVBNSVCRiVFNSVBRSU4OSUyMFhpJTI3YW4lMjBDaGluYXxlbnwxfDB8fHwxNzczOTA5MDY4fDA&ixlib=rb-4.1.0&q=80&w=1080,"Terracotta warriors in Xi'an, China.",True,1,False,False
cn25-023,大雁塔,西安,历史文化,大雁塔,https://images.unsplash.com/photo-1702301899062-da76ff10d2c7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlQTQlQTclRTklOUIlODElRTUlQTElOTR8ZW58MXwwfHx8MTc3MzkwNjgzNXww&ixlib=rb-4.1.0&q=80&w=1080,大雁塔🇨🇳,True,1,False,False,Giant Wild Goose Pagoda 大雁塔 西安 Xi'an China,https://images.unsplash.com/photo-1702301899062-da76ff10d2c7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwyfHxHaWFudCUyMFdpbGQlMjBHb29zZSUyMFBhZ29kYSUyMCVFNSVBNCVBNyVFOSU5QiU4MSVFNSVBMSU5NCUyMCVFOCVBNSVCRiVFNSVBRSU4OSUyMFhpJTI3YW4lMjBDaGluYXxlbnwxfDB8fHwxNzczOTA5MDczfDA&ixlib=rb-4.1.0&q=80&w=1080,大雁塔🇨🇳,True,1,False,False
cn25-024,西湖,杭州,自然风光,西湖,https://images.unsplash.com/photo-1711700320048-76fb7bed9232?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTglQTUlQkYlRTYlQjklOTZ8ZW58MXwwfHx8MTc3MzkwNjg0NHww&ixlib=rb-4.1.0&q=80&w=1080,West Lake,True,1,False,False,lake 西湖 杭州 Hangzhou China,https://images.unsplash.com/photo-1533532096080-6275cdc0f70a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwyfHxsYWtlJTIwJUU4JUE1JUJGJUU2JUI5JTk2JTIwJUU2JTlEJUFEJUU1JUI3JTlFJTIwSGFuZ3pob3UlMjBDaGluYXxlbnwxfDB8fHwxNzczOTA5MDkwfDA&ixlib=rb-4.1.0&q=80&w=1080,杭州.西湖.秋天,True,1,False,False
cn25-025,黄鹤楼,武汉,历史文化,黄鹤楼,https://images.unsplash.com/photo-1662800063658-ca168aa2633c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTklQkIlODQlRTklQjklQTQlRTYlQTUlQkN8ZW58MXwwfHx8MTc3MzkwNjg1MHww&ixlib=rb-4.1.0&q=80&w=1080,a large building with a dome on top,True,1,False,False,,,,False,,True,False
